id,host_id,host_name,price,minimum_nights,number_of_reviews
2539,2787,John,149,1,9
2595,2845,Jennifer,225,1,45
3647,4632,Elisabeth,150,3,0
3831,4869,LisaRoxanne,89,1,270
5022,7192,Laura,80,10,9
5099,7322,Chris,200,3,74
5121,7356,Garon,60,45,49
5178,8967,Shunichi,79,2,430
5203,7490,MaryEllen,79,2,118
5238,7549,Ben,150,1,160
5295,7702,Lena,135,5,53
5441,7989,Kate,85,2,188
5803,9744,Laurie,89,4,167
6021,11528,Claudio,85,2,113
6090,11975,Alina,120,90,27
6848,15991,Allen & Irina,140,2,148
7097,17571,Jane,215,2,198
7322,18946,Doti,140,1,260
7726,20950,Adam And Charity,99,3,53
7750,17985,Sing,190,7,0
7801,21207,Chaya,299,3,9
8024,22486,Lisel,130,2,130
8025,22486,Lisel,80,1,39
8110,22486,Lisel,110,2,71
8490,25183,Nathalie,120,2,88
8505,25326,Gregory,60,1,19
8700,26394,Claude & Sophie,80,4,0
9357,30193,Tommi,150,10,58
9518,31374,Shon,44,3,108
9657,21904,Dana,180,14,29
9668,32294,Ssameer Or Trip,50,3,242
9704,32045,Teri,52,2,88
9782,32169,Andrea,55,4,197
9783,32294,Ssameer Or Trip,50,3,273
10452,35935,Angela,70,1,74
10962,9744,Laurie,89,4,168
11452,7355,Vt,35,60,0
11708,44145,Tyrome,85,2,231
11943,45445,Harriet,150,1,0
12048,7549,Ben,40,1,214
12192,46978,Edward,68,2,245
12299,47610,Abdul,120,3,15
12303,47618,Yolande,120,7,25
12318,16800,Cyn,135,4,81
12343,47727,Earl,150,7,97
12627,49670,Rana,150,29,11
12937,50124,Orestes,130,3,248
12940,50148,Adreinne,110,7,61
13050,50846,Jennifer,115,3,11
13394,52335,Alexander,80,3,135
13808,54275,JT And Tiziana,80,1,112
14287,56094,Joya,151,2,73
14290,56104,James,228,3,82
14314,56246,Jeanne,144,2,328
14322,56284,Francesca,200,7,19
14377,56512,Joanna,150,30,105
14991,59023,Bianca,110,5,19
15220,59734,Luiz,69,2,289
15338,32169,Andrea,49,4,138
15341,60049,Ted,180,30,21
15385,60252,Cristina,80,2,42
15396,60278,Petra,375,180,5
15711,61491,D,250,2,66
16326,63588,Dimitri,200,30,143
16338,63613,Patricia,55,7,27
16421,63924,Mark,52,30,191
16458,64056,Sara,225,3,4
16580,64442,Reka,80,1,338
16595,64522,Daniel,275,1,148
16821,4396,Casey,99,1,106
16974,65837,Robin,225,4,190
17037,66035,Anna,230,9,49
17092,66243,Enzo,51,7,23
17693,68428,Tye And Etienne,65,2,49
17747,68599,George,105,2,105
18127,69829,Josh,190,5,21
18152,69942,Victoria,200,1,142
18198,70091,Justin,70,30,25
18590,71512,Blaise,95,3,143
18728,71876,DAVID And RICK,150,3,167
18764,72014,Lulú,145,3,61
19159,73051,Sybilla,110,31,54
19169,73128,JoLynn,285,5,70
19282,73469,Gaia,130,6,16
19319,44263,Ana,94,30,94
19601,74303,Maggie,800,1,25
19812,74857,Starlee,105,3,61
20299,62407,Edward,60,3,194
20300,76627,Pas,50,1,2
20611,72014,Lulú,85,3,174
20724,961342,Augustin,65,4,24
20734,78460,Sean & Lynette,131,4,166
20755,51038,Erica,98,7,16
20853,79070,Tracy,250,7,21
20913,79402,Christiana,100,5,168
21293,44145,Tyrome,105,3,118
21456,42032,Dana,140,3,81
21644,82685,Elliott,89,1,1
21794,83257,Olan,98,30,30
22911,87773,Shelly,125,7,139
22918,32294,Ssameer Or Trip,60,3,11
23135,11481,Annette,175,2,233
23501,63318,Meka,65,2,68
23686,93790,Ann,500,4,46
24143,97219,Seth,101,3,335
24285,97797,Brenda,220,30,88
25235,87773,Shelly,125,90,162
25406,105538,Erik,80,30,29
25696,107628,Dena,100,2,170
26012,109589,Jessica,200,30,19
26362,59734,Luiz,59,2,334
26520,51038,Erica,125,2,19
26559,112793,Sally,140,7,12
26785,42273,Dani,120,30,467
26933,72062,Bruce,350,2,7
26954,115157,Nimo,199,5,38
26969,115307,Alexandra,325,3,324
27006,115560,Stacy,235,6,27
27385,72062,Bruce,225,1,115
27531,118971,Evelyn,99,2,354
27644,119510,Emma,170,2,195
27659,119588,Vero,400,2,16
27759,119900,Sylvie,170,7,13
27883,120223,Jen,100,4,25
28321,65091,Kay,75,2,9
28396,6197784,Jo,90,1,9
28907,124352,Lisa,150,5,21
29012,124797,Fernando And Lenin,85,15,36
29013,35935,Angela,70,3,63
29455,126607,Laurine,120,3,155
29628,127608,Chris,89,3,260
29683,125857,Uli,185,5,73
30031,129352,Sol,50,3,193
30927,120335,Cs,105,3,32
31130,117287,Lara,130,2,50
31555,135619,Tom,115,29,26
31902,137292,Sunder,77,2,2
31994,137814,Waldemar,76,2,426
32023,137974,Khem,125,3,227
32037,116599,Sahr,135,4,84
32100,138579,Ali+Scott,250,29,3
32289,139612,Elisabeth,199,3,10
32331,139874,Sarah,140,2,4
32363,140025,Fredah,140,2,1
32965,137974,Khem,115,3,124
32969,142833,Katherine,160,3,11
33009,143027,Ming,195,4,240
33014,143048,Paula,195,3,30
33223,72014,Lulú,80,3,200
34760,149929,Obed,44,8,27
35526,120291,Karen,156,4,79
36121,62165,Michael,85,15,9
36133,142684,White,125,3,155
36442,137432,Paz,115,15,4
36647,157798,Irene,69,2,34
36703,158284,Karene,225,45,134
36934,159370,Viviana,125,6,27
38638,92788,Sara,219,4,126
38663,165789,Sarah,475,3,23
39267,168417,Marie,99,1,234
39282,168525,Gus,69,4,202
39593,110506,Myung,79,30,28
39704,170510,Renée,135,2,309
40039,171851,Henry,250,3,14
40453,174025,Sylvia,250,3,4
41348,180083,Syl,250,2,80
41513,181167,Lorenzo,80,3,2
42580,137814,Waldemar,70,2,294
42729,11481,Annette,165,2,150
42882,185978,Newyorkroomwithaview,70,2,166
43957,177536,Tessa,50,2,47
44096,190409,Waundell,40,1,219
44161,193360,Young,150,2,193
44212,72062,Bruce,125,1,84
44221,193722,Coral,196,3,114
44229,181376,Carol,110,2,213
44288,193637,Sara,170,3,86
44506,126607,Laurine,165,3,80
45393,201297,Myrna,150,26,38
45542,202249,Campbell,100,2,18
45556,67778,Doug,65,2,206
45910,204539,Mark,350,8,10
45936,867225,Rahul,99,4,122
45940,204724,Miyoung,200,4,33
46544,8198,Monica,150,5,52
46723,209460,Marylyn,90,3,126
46911,210746,Kathleen R.,120,3,51
47199,212722,Teresa,75,3,199
47362,214148,Robert,175,26,30
47370,214287,Alex,125,3,3
47926,218404,Claudia,275,1,41
48719,221873,Shane,299,2,109
50447,9744,Laurie,135,5,151
51438,236421,Jessica,130,14,0
51485,236655,Erina,83,1,285
51572,237329,Lee,123,1,375
51850,27848,Jullett,55,2,52
53137,240360,Marlaine,195,5,10
53196,247432,Charlotte,80,2,11
53469,204539,Mark,98,30,33
53470,204539,Mark,140,7,6
53477,204539,Mark,265,7,38
54158,10889,Bob,249,2,358
54453,255583,Anka,105,6,10
54466,253385,Douglas,200,30,0
54508,210746,Kathleen R.,100,2,226
54544,256161,Wayne,121,1,104
54626,190409,Waundell,45,1,138
54860,258164,Jenny,100,5,204
55467,260709,Paul,140,2,253
55498,262138,Tami,71,2,23
55668,88209,Jason,130,2,115
55737,263414,Pete,199,5,129
55959,168525,Gus,69,4,82
55982,264928,Sally,68,3,37
56467,267593,Leonardo,130,1,204
56525,268014,Alex,195,2,69
56859,256161,Wayne,64,1,192
57166,272006,Vasili,140,2,17
57297,199392,S.M.,159,2,222
57468,239208,Ori,189,3,205
57618,274557,Ana,250,3,94
57740,275459,I,239,3,7
57754,275578,R,305,2,108
57874,276291,Simon,155,3,222
58059,277379,Agnes,60,1,458
58062,277394,Linda,135,2,21
58467,279797,Dave,120,7,17
59014,282927,Drica,150,3,41
59121,204539,Mark,140,14,1
59642,274782,Betty,135,2,69
59709,186084,Ricardo & Ashlie,250,4,18
59855,288031,Leslie,250,30,82
60164,289653,Harrison,500,4,94
60457,99212,Jessica,225,5,10
60611,292204,Blanca,125,28,183
60666,256161,Wayne,92,1,189
60673,249372,Cynthia,175,2,1
60680,292630,Mich,99,2,127
60794,293394,Rachel,195,4,4
60948,126607,Laurine,140,3,135
61167,295760,Greta,135,2,21
61224,291112,Frank,500,2,35
61406,297176,Bethania,80,14,10
61492,297769,Tunji,120,4,171
61509,23619,Anna/Fonzy,110,200,92
62095,281764,Colette&Sean,65,3,238
62427,303882,Brie,130,50,56
62430,197755,Sheila,99,3,111
62452,303939,Lissette,36,2,193
62461,303939,Lissette,37,2,147
62787,303939,Lissette,37,2,177
62891,306545,Olivia,175,3,185
62903,306605,Daniel,205,9,62
62925,306739,Maya,285,3,124
63299,308875,Scott,59,2,181
63320,303939,Lissette,36,2,333
63360,307962,Dennis & Naoko,99,5,441
63546,308652,Antonín,39,1,45
63573,310458,Emily,60,14,9
63588,295128,Carol Gloria,90,2,0
63610,310670,Vie,105,2,38
63657,170510,Renée,135,2,248
63693,306545,Olivia,390,5,143
63719,311286,Helene,70,3,36
63913,312288,Paula,75,7,0
64000,312722,Kristian & Di,60,17,14
64015,146944,David,200,3,0
64107,313317,Niya,100,3,279
64277,311286,Helene,70,4,18
64314,314256,Debbie,110,6,50
64365,314582,Anthony,60,2,227
64707,7310,Tilly,90,14,1
64837,46978,Edward,68,2,203
65019,317809,Claire,115,2,210
65268,319092,Juhli,75,5,64
65556,320422,Marlon,60,3,0
65562,320450,Mary D,129,7,5
65615,320761,Valerie,130,10,49
65660,320538,Larissa,95,4,132
65813,321756,Eric,75,3,20
65834,321934,Jessica,175,2,11
66008,322884,Melissa,190,3,51
66026,322716,Alex,49,21,15
66251,324460,Samir,212,3,67
66275,314941,Tony,95,1,109
66451,325389,Luis Fernando,140,2,9
66718,136227,Henning,135,6,187
66741,327673,Stefano,150,2,214
66974,329436,Jana,190,3,69
67288,101597,Per,124,28,22
67299,330347,Adrienne,135,30,56
67397,332189,Elise,122,3,93
68099,323517,Deda,109,1,104
68305,338454,Share,85,30,64
68403,240427,Naimah,145,3,127
68735,342054,Violetta,195,11,30
68765,282655,Jenna,250,2,106
68900,343250,Jason,125,3,6
68974,281229,Alicia,575,2,191
69894,352168,Silvia,150,30,48
69921,155689,Joab,70,5,47
70095,353965,Mary And Geoff,90,2,120
70128,354330,Eyal,65,3,52
70609,72062,Bruce,500,2,48
71010,361855,Kurt,250,3,32
71248,363834,Jennifer,125,25,43
71366,364955,Ruperto,200,30,39
71384,365153,Ben,229,1,50
71812,369015,Thai,90,30,4
72190,373085,Hudson,110,13,38
72265,340692,Vanessa,59,3,29
74073,211877,Daniel,195,4,59
74240,389924,Patty,169,1,68
74333,331328,Amir,113,14,26
74404,391325,G & S,250,14,31
74680,265109,Nazleen,115,2,198
74860,394752,Allison,55,2,1
75193,308875,Scott,69,2,220
75635,401696,Patricia,150,3,286
76761,118971,Evelyn,169,2,398
77765,417504,The Box House Hotel,179,3,36
77936,134355,Moss Owen,150,3,36
78919,422561,Nancy,135,4,6
79067,425506,Bliss,350,6,14
79782,430188,Pam,120,14,76
80493,434987,Jennifer,71,2,182
80684,417504,The Box House Hotel,349,3,8
80700,417504,The Box House Hotel,349,3,7
80924,438133,Ellis,165,30,34
81739,417504,The Box House Hotel,249,3,2
82549,448312,Christopher,100,3,66
82550,448312,Christopher,200,3,80
82638,449787,Sarah,169,4,240
82928,451545,Ruthven,185,3,46
83243,453519,Julian,65,2,228
83446,454756,Leslie,130,35,5
83722,456638,Sophie,199,30,8
83847,410094,Yvette,225,2,33
84010,417504,The Box House Hotel,179,3,13
84059,459054,Famous,150,5,5
84659,462776,Kyle,139,1,388
84905,464506,Ange,95,3,223
85094,322716,Alex,79,15,11
86215,327900,T,150,2,151
89427,116599,Sahr,650,5,0
89621,209460,Marylyn,90,3,218
93313,25183,Nathalie,120,2,75
94035,35375,Savannah,80,1,42
94209,503800,Sadatu,100,90,0
94477,478395,Jason,175,2,370
94783,473113,Keishera,120,5,104
95747,509341,Tessa,140,7,13
95883,509918,Eduardo,200,5,4
96471,116599,Sahr,165,4,11
98330,31374,Shon,125,4,1
98663,520279,Peter Michael,130,30,19
99070,522065,Liz And Melissa,65,7,131
99085,522164,Wanda,123,30,15
100002,523218,Giorgio,67,2,136
100184,526653,,50,1,43
100186,526805,Mi,130,7,98
101053,530032,Lee And Tara,100,3,31
102995,178043,Chas,212,21,45
103161,465278,Ade,190,3,124
103311,417504,The Box House Hotel,599,3,9
103806,251176,Jason,249,5,166
105469,547386,Michelle,70,27,13
105510,322716,Alex,100,30,15
106363,551055,Alicia,60,3,380
106647,552679,Olivia,135,2,86
107630,306739,Maya,175,3,248
107895,3088389,Kai,120,5,49
110739,568568,Driss,169,18,54
112100,572527,Marine,165,7,3
112304,573316,Kelli,90,1,1
112359,571952,Olivia,225,2,56
112435,181376,Carol,95,2,163
113265,314582,Anthony,55,2,247
113945,275582,Natalia,85,10,116
114123,579495,Susi,199,14,27
114229,314941,Tony,211,1,52
114969,582598,Andrey,145,6,39
115535,567187,Jane,65,14,35
115678,127772,Will,99,1,320
115748,585166,Lilly,110,4,30
116940,209460,Marylyn,80,3,225
117425,593115,LuLu,150,30,95
118061,2248897,Roberta,110,4,70
118430,585458,Paul,290,2,35
118680,599354,Bobby,87,2,0
120362,138069,Itamar,190,4,50
121687,262812,Vikram,200,2,29
121861,611716,Elizabeth,165,2,23
123784,617990,Christopher,110,2,142
125053,622460,Justin,395,2,70
125163,622855,Rodney,99,2,38
125594,308652,Antonín,39,1,82
126443,627217,Seith,189,2,403
126816,620288,Eric,85,1,3
127387,23276,Katharine,260,30,3
128975,256161,Wayne,122,1,116
131154,275563,Lauren,165,2,175
132516,85330,Jean,97,3,28
132570,651390,Catherine,170,4,24
132695,507186,Holly,125,2,15
133025,653405,Tracy,130,4,105
134934,652842,Giovanni,225,10,22
135393,663764,Karen,50,2,263
135465,663879,Christopher,170,3,86
135706,665013,Jeff,132,4,10
136493,663384,Irena,250,7,18
138216,674970,Michael,141,5,8
139624,680818,Jessica,64,20,70
140133,622866,Daniel,249,3,150
140425,683975,Ivy,79,2,115
140973,686147,Dave,185,2,69
141154,686768,Mark,120,3,232
141335,687361,Orna,495,1,35
141890,689661,Allison,375,3,18
141984,630453,Vanessa,175,3,68
142069,277747,Josh,150,4,22
144087,616825,Rinaldo,259,8,17
144148,299755,Jonathan,96,1,34
145064,404424,Oliver,145,7,8
145188,703156,Kristin,200,4,0
145994,706418,Carolyn,95,5,2
146754,709434,Meighan,250,4,52
147586,709334,Julie,295,2,74
148201,715807,John,175,3,18
148259,716064,Mihalis,451,2,72
148825,718349,B.,165,2,191
149287,720320,Nancy,250,4,0
149777,716306,"Dee, Dre & Mama Shelley",77,1,197
150804,726333,Peter,250,4,19
151199,722320,Gladys & Bob,129,1,414
151478,216191,M,98,2,8
152071,731855,Wendy,150,2,0
152078,731904,Ewelina,95,7,25
152259,256161,Wayne,55,3,119
152263,732535,William,300,2,203
152520,733894,Lucy,42,40,53
153405,737585,Pat,125,2,104
153780,739499,Donna,175,3,175
154934,745069,Kimberly,75,3,38
155296,656841,Meredith,255,45,39
157673,757166,Tokunbo,72,31,88
158061,758441,Fred,165,1,27
158176,573065,Laura,165,5,117
158290,759583,Pepe,75,3,43
158913,762563,Lennny & Megan,130,5,4
158955,465589,Amia,139,2,385
159749,54275,JT And Tiziana,88,1,64
159815,54275,JT And Tiziana,80,1,39
159913,759883,Kaye,150,2,37
160609,769247,Ligia,200,3,10
160994,770831,James,200,2,103
161366,733894,Lucy,42,40,41
161394,772300,Alain,90,6,3
161996,1856604,"Robert ""Bob""",295,3,227
162493,776490,Andres,450,5,37
162508,776645,Placid,130,2,29
163627,242506,Jsun,89,3,205
163809,781647,Jorin,198,5,42
163814,627217,Seith,99,2,280
163836,32169,Andrea,46,4,86
164989,69439,Jade,140,2,54
165080,787273,Smadar,500,7,7
165461,867225,Rahul,75,5,57
165824,733894,Lucy,33,44,31
166006,791287,Giancarlo,250,31,188
166172,792159,Wanda,60,3,480
166541,793620,Yvette,75,2,34
166983,795640,Jilly,350,5,6
167013,306605,Daniel,205,9,3
167017,795889,Adam,219,5,2
167222,22486,Lisel,60,1,20
167482,789257,Barbara,185,2,129
168084,800982,Chris,190,3,147
168123,720558,Sara,105,28,101
168546,803086,Benton,250,2,11
168810,747698,Linda & Chris,175,65,11
169002,805344,Alec,65,2,41
169152,806112,Julia,75,2,87
169306,806214,Vanessa,37,4,117
169464,806774,Ali & SweetPea,85,2,86
169483,807642,Jeffrey,106,7,0
170420,812814,Lena,79,2,15
170761,67778,Doug,85,2,35
171776,803086,Benton,170,2,17
172700,302772,Cheryl,115,3,3
172870,781647,Jorin,89,5,43
173072,826192,Lewis,49,3,168
173151,826459,Jane,91,3,241
173742,829652,Donna,400,2,105
174527,833926,Kris,150,2,11
174966,836168,Henry,2000,30,30
176135,842125,Jennifer,97,3,31
176653,844862,Cj,100,4,49
176962,846309,Dani,179,4,23
177421,848748,Sarah,500,2,20
177495,848960,Amit,429,10,18
177606,849492,Kathrine,189,6,90
179670,21475,Milan,120,2,99
179741,314941,Tony,300,1,6
180507,864735,Jason,107,30,21
180792,864735,Jason,95,30,24
181972,872121,Rosario,199,2,111
182069,39260,Mat,120,2,86
182095,872805,Mike,199,15,66
182177,873273,Christian & Carla,125,2,271
182649,876054,Obed,70,2,227
185266,889106,Lisa,75,4,80
187488,871727,Village,100,30,5
187566,279078,Andrew & Markus,99,2,187
187986,904833,Daniel,250,1,2
188146,906200,Mariana,350,6,1
188661,909146,Mj,170,3,67
188674,909234,Leslie,165,1,63
189135,179020,Michael,99,1,89
189181,912541,David,255,4,1
189732,489400,O'Dell,169,3,177
189787,915640,Sundiata,99,4,90
190267,918866,Marina,169,7,39
190542,920542,Farrah,160,3,42
190968,922922,Karen,215,3,33
190974,874471,Alan,130,3,179
191075,923915,Matthew,110,3,81
193105,936114,Marcela,150,28,43
193333,302936,Melody,65,30,52
193393,938056,Mike,75,2,160
193853,48599,Anastasia,149,6,23
194154,936830,Elina,89,6,35
195123,940724,Susan,50,1,225
195233,949221,Dennis,43,1,401
195240,949221,Dennis,42,1,72
195578,304493,Erika,85,1,46
195971,953279,Tim,139,3,83
195989,611716,Elizabeth,105,1,211
196010,953565,Vanessa,265,5,15
197155,960836,Vlad,149,1,122
197753,964482,Colin,68,2,295
197942,289135,Toni,99,3,207
199195,971075,Jabari,75,3,50
199312,973438,Susanne,100,2,273
200645,933378,Edo,90,1,0
200955,568325,Simone,160,30,25
201992,988350,Andrea,190,4,105
202273,918087,Kestrel,67,4,72
203901,1000477,Elizabeth,190,1,8
204065,51038,Erica,248,2,58
204833,903686,Melanie,100,6,8
204959,464506,Ange,95,3,172
205043,1007558,Welcome To My Place,150,1,330
205485,1010242,Zora & Chris,145,3,123
205735,1011426,Danielle,41,2,55
205867,1012691,Tiffaney,120,4,87
206071,12221,Lori,50,3,258
206316,1014639,Brett,157,2,4
206772,1017473,Evan,195,14,31
206957,1018472,Angus,70,4,128
208148,1024355,Martina,185,3,14
208889,1029021,Jameelah,145,3,30
209310,1031148,Iulia,50,28,258
211078,306739,Maya,185,3,228
211974,272730,Goldi,250,1,60
212109,666271,Susan,80,90,9
212178,1094178,Jeremy,230,2,179
212544,1096084,Daniel,100,7,9
213272,293130,Meli,40,1,1
213330,800223,Nader,200,30,25
214917,1109658,Carmel,80,2,2
215560,1112560,Mary,79,3,152
215784,864735,Jason,95,30,24
215907,1114587,Keenan & Emily,300,2,45
217580,1121193,Samuel,100,30,7
218358,1129218,Orlando,80,7,19
219066,447754,Yana,110,1,24
219482,759583,Pepe,172,4,8
219793,1138692,Keera (Jena),199,1,29
219818,1138692,Keera (Jena),199,1,14
219922,1139574,Carmel,100,1,33
220351,921500,Boubacar And Pattee,55,4,99
220563,918087,Kestrel,75,3,59
220946,1144415,Lisa,146,3,142
221043,846050,Eziah,250,2,0
221097,1146744,Deborah,116,29,22
